bg-1147
The Guardian	The Guardian	PRO	PRO-The-Guardian
Брюксел	Брюксел	LOC	GPE-Brussles
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Брекзит	Брекзит	EVT	EVT-Brexit
ЕС	ЕС	ORG	ORG-European-Union
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Великобритания	Великобритания	LOC	GPE-Great-Britain
Европа	Европа	LOC	LOC-Europe
Ирландия	Ирландия	LOC	GPE-Ireland
Алеш Шмелар	Алеш Шмелар	PER	PER-Ales-Chmelar
Чешката република	Чешка република	LOC	GPE-Czech-Republic
Норвегия	Норвегия	LOC	GPE-Norway
Канада	Канада	LOC	GPE-Canada
Мей	Мей	PER	PER-Theresa-May
Европейската агенция за сигурността на полетите	Европейска агенция за сигурността на полетите	ORG	ORG-European-Aviation-Safety-Agency
Европейския парламент	Европейски парламент	ORG	ORG-European-Parlament
Ги Верхофстад	Ги Верхофстад	PER	PER-Guy-Verhofstad
Манфред Вебер	Манфред Вебер	PER	PER-Manfred-Weber
ЕНП	ЕНП	ORG	ORG-EPP
ЕП	ЕП	ORG	ORG-European-Parlament
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
