bg-86
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Brussels Times	Brussels Times	PRO	PRO-The-Brussels-Times
Фокус	Фокус	ORG	ORG-Focus-News-Agency
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
британците	британци	PER	GPE-Great-Britain
Франция	Франция	LOC	GPE-France
Испания	Испания	LOC	GPE-Spain
Италия	Италия	LOC	GPE-Italy
Белгия	Белгия	LOC	GPE-Belgium
Европейската народна партия	Европейска народна партия	ORG	ORG-European-People's-Party
Европейския парламент	Европейски парламент	ORG	ORG-European-Parlament
консерваторите	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
евродепутати	евродепутати	PER	ORG-European-Parlament
Страсбург	Страсбург	LOC	GPE-Strasbourg
