bg-17
24 часа	24 часа	PRO	PRO-24-chasa
Асия Биби	Асия Биби	PER	PER-Asia-Bibi
Ашик Масих	Ашик Масих	PER	PER-Ashiq-Masih
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Биби	Биби	PER	PER-Asia-Bibi
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джъстин Трюдо	Джъстин Трюдо	PER	PER-Justin-Trudeau
Италия	Италия	LOC	GPE-Italy
Канада	Канада	LOC	GPE-Canada
Кристия Фриланд	Кристия Фрийланд	PER	PER-Chrystia-Freeland
Медийна група България	Медийна група България	ORG	ORG-Media-Group-Bulgaria
Отава	Отава	LOC	GPE-Ottawa
Пакистан	Пакистан	LOC	GPE-Pakistan
Париж	Париж	LOC	GPE-Paris
Първата световна война	Първа световна война	EVT	EVT-WWI
РОЙТЕРС	Ройтерс	ORG	ORG-Reuters
Ройтерс	Ройтерс	ORG	ORG-Reuters
САЩ	САЩ	LOC	GPE-USA
Трюдо	Трюдо	PER	PER-Justin-Trudeau
Франс прес	Франс прес	ORG	ORG-AFP-Agence-France-Press
Шах Махмуд Куреши	Шах Махмуд Куреши	PER	PER-Shah-Mahmood-Qureshi
