bg-1244
The Guardian	The Guardian	PRO	PRO-The-Guardian
ЕС	ЕС	ORG	ORG-European-Union
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Брюксел	Брюксел	LOC	GPE-Brussles
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Брекзит	Брекзит	EVT	EVT-Brexit
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Лондон	Лондон	LOC	GPE-London
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Тереза Герова	Тереза Герова	PER	PER-Theresa-Gerova
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
