bg-696
Брекзит	Брекзит	EVT	EVT-Brexit
Изток	Изток	LOC	LOC-Eastern-Europe
европейци	европейци	PER	PER-Europe
Великобритания	Великобритания	LOC	GPE-Great-Britain
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
ONS	ONS	ORG	ORG-Office-for-National-Statistics
Би Би Си	Би Би Си	ORG	ORG-BBC-Ltd
ЕС	ЕС	ORG	ORG-European-Union
британците	британци	PER	GPE-Great-Britain
Никола Уайт	Никола Уайт	PER	PER-Nicola-White
Гийермо Меарди	Гийермо Меарди	PER	PER-Guglielmo-Meardi
Уоруик	Уоруик	ORG	ORG-Warwick-Business-School
Източна Европа	Източна Европа	LOC	LOC-Eastern-Europe
Меарди	Меарди	PER	PER-Guglielmo-Meardi
Полша	Полша	LOC	GPE-Poland
България	България	LOC	GPE-Bulgaria
Румъния	Румъния	LOC	GPE-Romania
Дейли телеграф	Дейли телеграф	PRO	PRO-The-Telegraph
британци	британци	PER	GPE-Great-Britain
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Каролин Ноукс	Каролин Ноукс	PER	PER-Caroline-Nokes
