bg-1096
Брекзит	Брекзит	EVT	EVT-Brexit
Ирландия	Ирландия	LOC	GPE-Ireland
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Република Ирландия	Република Ирландия	LOC	GPE-Ireland
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
северноирландците	северноирландци	PER	GPE-Northern-Ireland
Университета на кралицата	Университет на кралицата	ORG	ORG-Queen's-university
Куинс юнивърсити	Куинс юнивърсити	ORG	ORG-Queen's-university
Белфаст	Белфаст	LOC	GPE-Belfast
северноирландци	северноирландци	PER	GPE-Northern-Ireland
ЕС	ЕС	ORG	ORG-European-Union
Колин Харви	Колин Харви	PER	PER-Colin-Harvey
Лондон	Лондон	LOC	GPE-London
Обединеното кралство в променящата се Европа	Обединено кралство в променящата се Европа	ORG	ORG-UK-in-a-Changing-Europe
Шотландия	Шотландия	LOC	GPE-Scotland
Споразумението от Разпети петък	Споразумение от Разпети петък	PRO	PRO-Good-Friday-Agreement
Шин Фейн	Шин Фейн	ORG	ORG-Sinn-Fein
Брюксел	Брюксел	LOC	GPE-Brussles
европейския митнически съюз	Европейски митнически съюз	ORG	ORG-European-Union-Customs-Union
Джереми Корбин	Джереми Корбин	PER	PER-Jeremy-Corbyn
Лейбъристка партия	Лейбъристка партия	ORG	ORG-Labour-Party-UK
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Таймс	Таймс	PRO	PRO-The-Times
Джейкъб Рийс-Мог	Джейкъб Рийс-Мог	PER	PER-Jacob-Rees-Mogg
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Мей	Мей	PER	PER-Theresa-May
Ирландии	Ирландии	LOC	LOC-Irlends-countries
Британците	британци	PER	GPE-Great-Britain
Лондондери	Лондондери	LOC	GPE-Londonderry
Елиша Макалиън	Елиша Макалиън	PER	PER-Colin-Harvey
АФП	АФП	ORG	ORG-France-Presse
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
