bg-1247
Брекзит	Брекзит	EVT	EVT-Brexit
европейците	европейци	PER	LOC-Europe
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Джавит	Джавит	PER	PER-Sajid-Javid
Би Би Си	Би Би Си	ORG	ORG-BBC-Ltd
Камарата на лордовете	Камара на лордовете	ORG	ORG-House-of-Lords
Епъл	Епъл	ORG	ORG-Apple
Ирландия	Ирландия	LOC	GPE-Ireland
европейци	европейци	PER	PER-Europe
британци	британци	PER	GPE-Great-Britain
Франция	Франция	LOC	GPE-France
Испания	Испания	LOC	GPE-Spain
британците	британци	PER	GPE-Great-Britain
Европейския парламент	Европейски парламент	ORG	ORG-European-Parlament
