bg-1994
Брекзит	Брекзит	EVT	EVT-Brexit
Маркус Байрер	Маркус Байрер	PER	PER-Markus-Beyrer
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Брюксел	Брюксел	LOC	GPE-Brussles
Съединените щати	Съединени щати	LOC	GPE-USA
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Хоризонт	Хоризонт	PRO	PRO-Horizont-Radio
Филип Леви	Филип Леви	PER	PER-Philip-Levy
Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
Пиер Московиси	Пиер Московиси	PER	PER-Pierre-Moscovici
Европа	Европа	LOC	LOC-Europe
Франс прес	Франс прес	ORG	ORG-France-Presse
Евростат	Евростат	ORG	ORG-Eurostat
еврозоната	Еврозона	LOC	LOC-Eurozone
