bg-667
Брекзит	Брекзит	EVT	EVT-Brexit
UK	UK	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Фараж	Фараж	PER	PER-Nigel-Farage
Москва	Москва	LOC	GPE-Moscow
британците	британци	PER	GPE-Great-Britain
Балканите	Балкани	LOC	LOC-Balkans
СИК	СИК	ORG	ORG-SIK
БКП	БКП	ORG	ORG-Bulgarian-Communist-Party
ГЕРБ	ГЕРБ	ORG	ORG-GERB
БСП	БСП	ORG	ORG-BSP
ДпС	ДПС	ORG	ORG-DPS
Борисов	Борисов	PER	PER-Boyko-Borisov
Великобритания	Великобритания	LOC	GPE-Great-Britain
Блумбърг	Блумбърг	ORG	ORG-Bloomberg-LP
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Уестминстър	Уестминстър	LOC	LOC-Westminster
