bg-120
Брекзит	Брекзит	EVT	EVT-Brexit
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Ройтерс	Ройтерс	ORG	ORG-Reuters
Партията за независимостта на Великобритания	Партия за независимостта на Великобритания	ORG	ORG-UK-Independence-Party
UKIP	UKIP	ORG	ORG-UK-Independence-Party
Найджъл Фараж	Найджъл Фараж	PER	PER-Nigel-Farage
ЕС	ЕС	ORG	ORG-European-Union
Фараж	Фараж	PER	PER-Nigel-Farage
Арън Банкс	Арън Банкс	PER	PER-Arron-Banks
Leave.eu	Leave.eu	ORG	ORG-Leave.eu
Мей	Мей	PER	PER-Theresa-May
британците	британци	PER	GPE-Great-Britain
Банкс	Банкс	PER	PER-Arron-Banks
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Би Би Си	Би Би Си	ORG	ORG-BBC-Ltd
BMG	BMG	ORG	ORG-BMG
Евросъюза	Евросъюз	ORG	ORG-European-Union
Би Ем Джи	Би Ем Джи	ORG	ORG-BMG
