bg-1230
Брекзит	Брекзит	EVT	EVT-Brexit
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Daily Mirror	Daily Mirror	PRO	PRO-Daily-Mirror
Великобритания	Великобритания	LOC	GPE-Great-Britain
Канада	Канада	LOC	GPE-Canada
Дейвис	Дейвис	PER	PER-David-Davis
Лейбъристката партия	Лейбъристка партия	ORG	ORG-Labour-Party-UK
Мат Пеникук	Мат Пеникук	PER	PER-Matthew-Pennycook
консерваторите	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
TUC	TUC	ORG	ORG-TUC
Франсис О'Грейди	Франсис О'Грейди	PER	PER-Frances-O'Grady
Кале	Кале	LOC	GPE-Calais
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
The Daily Express	The Daily Express	PRO	PRO-The-Daily-Express
Май	Мей	PER	PER-Theresa-May
Емануел Макрон	Емануел Макрон	PER	PER-Emmanuel-Macron
Еритрея	Еритрея	LOC	GPE-Erythrea
Етиопия	Етиопия	LOC	GPE-Ethiopia
Афганистан	Афганистан	LOC	GPE-Afghanistan
Па дьо Кале	Па дьо Кале	LOC	LOC-Pas-de-Calais
The Guardian	The Guardian	PRO	PRO-The-Guardian
Филип Хамънд	Филип Хамънд	PER	PER-Philip-Hammond
Грег Кларк	Грег Кларк	PER	PER-Greg-Clark
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Джейкъб Рийс-Мог	Джейкъб Рийс-Мог	PER	PER-Jacob-Rees-Mogg
Рийс-Мог	Рийс-Мог	PER	PER-Jacob-Rees-Mogg
САЩ	САЩ	LOC	GPE-USA
Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
Африка	Африка	LOC	LOC-Africa
Африканския съюз	Африкански съюз	ORG	ORG-African-Union
Адис Абеба	Адис Абеба	LOC	GPE-Addis-Ababa
The Independent	The Independent	PRO	PRO-The-Independent
Световния икономически форум в Давос	Световен икономически форум в Давос	ORG	ORG-WEF
Тръмп	Тръмп	PER	PER-Donald-Trump
Руанда	Руанда	LOC	GPE-Ruanda
Пол Кагаме	Пол Кагаме	PER	PER-Paul-Kagame
Африканският съюз	Африкански съюз	ORG	ORG-African-Union
АС	АС	ORG	ORG-African-Union
Рекс Тилърсън	Рекс Тилърсън	PER	PER-Rex-Tillerson
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
