bg-1002
Брекзит	Брекзит	EVT	EVT-Brexit
Съветът по член 50	Съвет по член 50	ORG	ORG-European-Council-Article-50
Брюксел	Брюксел	LOC	GPE-Brussles
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
ЕС-27	ЕС-27	ORG	ORG-European-Council-Article-50
ЕС	ЕС	ORG	ORG-European-Union
МВнР	МВнР	ORG	ORG-Ministry-of-Foreign-Affairs-Bulgaria
Екатерина Захариева	Екатерина Захариева	PER	PER-Ekaterina-Zaharieva
Съвет "Общи въпроси"	Съвет Общи въпроси	ORG	ORG-General-Affairs-Council
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
ОК	ОК	LOC	GPE-Great-Britain
Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
