bg-1275
Evening Standard	Evening Standard	PRO	PRO-Evening-Standard
Лондон	Лондон	LOC	GPE-London
ЕС	ЕС	ORG	ORG-European-Union
Брекзит	Брекзит	EVT	EVT-Brexit
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Ана Собри	Ана Собри	PER	PER-Anna-Soubry
Барние	Барние	PER	PER-Michel-Barnier
Великобритания	Великобритания	LOC	GPE-Great-Britain
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
