bg-35
Брекзит	Брекзит	EVT	EVT-Brexit
ЕС	ЕС	ORG	ORG-European-Union
Индипендънт	Индипендънт	PRO	PRO-The-Independent
Брюксел	Брюксел	LOC	GPE-Brussles
британците	британци	PER	GPE-Great-Britain
Великобритания	Великобритания	LOC	GPE-Great-Britain
Ирландия	Ирландия	LOC	GPE-Ireland
Саймън Ковъни	Саймън Ковъни	PER	PER-Simon-Coveney
Ковъни	Ковъни	PER	PER-Simon-Coveney
Джон Макдонъл	Джон Макдонъл	PER	PER-John-McDonnell
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Флоренция	Флоренция	LOC	GPE-Florence
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
