bg-1359
Брекзит	Брекзит	EVT	EVT-Brexit
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Жан-Ив Льо Дриан	Жан-Ив Льо Дриан	PER	PER-Jean-Yves-Le-Drian
Дъблин	Дъблин	LOC	GPE-Dublin
Ройтерс	Ройтерс	ORG	ORG-Reuters
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Саймън Коувъни	Саймън Коувъни	PER	PER-Simon-Coveney
Льо Дриан	Льо Дриан	PER	PER-Jean-Yves-Le-Drian
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Ирландия	Ирландия	LOC	GPE-Ireland
Великобритания	Великобритания	LOC	GPE-Great-Britain
Коувъни	Коувъни	PER	PER-Simon-Coveney
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
