bg-1876
Брекзит	Брекзит	EVT	EVT-Brexit
Борис Джонсън	Борис Джонсън	PER	PER-Boris-Johnson
ЕС	ЕС	ORG	ORG-European-Union
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джонсън	Джонсън	PER	PER-Boris-Johnson
британци	британци	PER	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Марк Рюте	Марк Рюте	PER	PER-Mark-Rutte
Франс прес	Франс прес	ORG	ORG-France-Presse
Партия на свободата	Партия на свободата на Австрия	ORG	ORG-Freedom-Party-of-Austria
Герт Вилдерс	Герт Вилдерс	PER	PER-Geert-Wilders
Халбе Зейлстра	Халбе Зейлстра	PER	PER-Halbe-Zijlstra
Зейлстра	Зейлстра	PER	PER-Halbe-Zijlstra
