bg-1438
The Daily Express	The Daily Express	PRO	PRO-The-Daily-Express
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Брекзит	Брекзит	EVT	EVT-Brexit
Лондон	Лондон	LOC	GPE-London
Великобритания	Великобритания	LOC	GPE-Great-Britain
Лейбъристката партия	Лейбъристка партия	ORG	ORG-Labour-Party-UK
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
консерваторите	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
Иън Дънкан Смит	Иън Дънкан Смит	PER	PER-Iain-Duncan-Smith
лейбъристите	лейбъристи	PER	ORG-Labour-Party-UK
Смит	Смит	PER	PER-Iain-Duncan-Smith
Джейкъб Рийс-Мог	Джейкъб Рийс-Мог	PER	PER-Jacob-Rees-Mogg
Йонислав Дочев	Йонислав Дочев	PER	PER-Yonislav-Donchev
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
