bg-1158
The Guardian	The Guardian	PRO	PRO-The-Guardian
Найджъл Фараж	Найджъл Фараж	PER	PER-Nigel-Farage
британци	британци	PER	GPE-Great-Britain
Лондон	Лондон	LOC	GPE-London
Партията на независимостта	Партия на независимостта	ORG	ORG-UK-Independence-Party
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Брекзит	Брекзит	EVT	EVT-Brexit
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Барние	Барние	PER	PER-Michel-Barnier
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Фараж	Фараж	PER	PER-Nigel-Farage
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
