bg-100
Брекзит	Брекзит	EVT	EVT-Brexit
Паркър	Паркър	PER	PER-Craig-Hamilton-Parker
Великобритания	Великобритания	LOC	GPE-Great-Britain
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Тръмп	Тръмп	PER	PER-Donald-Trump
САЩ	САЩ	LOC	GPE-USA
Психологически и астрологични прогнози за 2018 година	Психологически и астрологични прогнози за 2018 година	PRO	PRO-Psychic-and-Astrology-World-Predictions-for-2018
Исландия	Исландия	LOC	GPE-Iceland
Индия	Индия	LOC	GPE-India
Везувий	Везувий	LOC	LOC-Vesuvius
Иския	Иския	LOC	LOC-Ischia
Италия	Италия	LOC	GPE-Italy
Крейг Хамилтън-Паркър	Крейг Хамилтън-Паркър	PER	PER-Craig-Hamilton-Parker
Северна Корея	Северна Корея	LOC	GPE-North-Korea
Ким Чен Ун	Ким Чен Ун	PER	PER-Kim-Jong-Un
Европа	Европа	LOC	LOC-Europe
Лондон	Лондон	LOC	GPE-London
Берлин	Берлин	LOC	GPE-Berlin
ЕС	ЕС	ORG	ORG-European-Union
Мексико	Мексико	LOC	GPE-Мexico
