bg-1524
Digital Journal	Digital Journal	PRO	PRO-Digital-Journal
Канада	Канада	LOC	GPE-Canada
Отава	Отава	LOC	GPE-Ottawa
България	България	LOC	GPE-Bulgaria
Съвета на ЕС	Съвет на ЕС	ORG	ORG-Council-of-the-European-Union
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Брекзит	Брекзит	EVT	EVT-Brexit
Лиляна Павлова	Лиляна Павлова	PER	PER-Lilyana-Pavlova
Франс прес	Франс прес	ORG	ORG-France-Presse
Мей	Мей	PER	PER-Theresa-May
Лондон	Лондон	LOC	GPE-London
Павлова	Павлова	PER	PER-Lilyana-Pavlova
Бойко Борисов	Бойко Борисов	PER	PER-Boyko-Borisov
ЕС	ЕС	ORG	ORG-European-Union
Великобритания	Великобритания	LOC	GPE-Great-Britain
европейците	европейци	PER	LOC-Europe
Цанко Цолов	Цанко Цолов	PER	PER-Tsanko-Tsolov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
