bg-1034
Гардиън	Гардиън	PRO	PRO-The-Guardian
Европа	Европа	LOC	LOC-Europe
Брекзит	Брекзит	EVT	EVT-Brexit
Германия	Германия	LOC	GPE-Germany
Германската социалдемократическа партия	Германска социалдемократическа партия	ORG	ORG-Sozialdemokratische-Partei-Deutschlands
ГСДП	ГСДП	ORG	ORG-Sozialdemokratische-Partei-Deutschlands
Левите	Левите	ORG	ORG-Die-Linke
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Мартин Шулц	Мартин Шулц	PER	PER-Martin-Schulz
Волфганг Шойбле	Волфганг Шойбле	PER	PER-Wolfgang-Schauble
Елисейския дворец	Елисейски дворец	LOC	LOC-Palais-de-l'Еlysеe
Брюксел	Брюксел	LOC	GPE-Brussles
Меркел	Меркел	PER	PER-Angela-Merkel
Зелените	Зелените	ORG	ORG-Die-Grunen
Свободните демократи	Свободни демократи	ORG	ORG-Freie-Demokratische-Partei
Алтернатива за Германия	Алтернатива за Германия	ORG	ORG-Alternative-fur-Deutschland
АзГ	АзГ	ORG	ORG-Alternative-fur-Deutschland
Християндемократическия съюз	Християндемократическия съюз	ORG	ORG-Christlich-Demokratische-Union
ХДС	ХДС	ORG	ORG-Christlich-Demokratische-Union
Съединени европейски щати	Съединени европейски щати	LOC	GPE-United-States-of-Europe
Шулц	Шулц	PER	PER-Martin-Schulz
Еманюел Макрон	Еманюел Макрон	PER	PER-Emmanuel-Macron
еврозоната	Еврозона	LOC	LOC-Eurozone
Южна Европа	Южна Европа	LOC	GPE-Southern-Europe
Вишеградската четворка	Вишеградска четворка	ORG	ORG-Visegrad-Group
Брекзита	Брекзит	EVT	EVT-Brexit
Брекзитът	Брекзит	EVT	EVT-Brexit
унгарци	унгарци	PER	GPE-Hungary
поляци	поляци	PER	GPE-Poland
словаци	словаци	PER	GPE-Slovakia
чехи	чехи	PER	GPE-Czech-Republic
ЕС	ЕС	ORG	ORG-European-Union
