bg-939
Брекзит	Брекзит	EVT	EVT-Brexit
ЕП	ЕП	ORG	ORG-European-Parlament
ЕС	ЕС	ORG	ORG-European-Union
Страсбург	Страсбург	LOC	GPE-Strasbourg
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Белфасткото споразумение	Белфастко споразумение	PRO	PRO-Belfast-Agreement
Евродепутатите	евродепутати	PER	ORG-European-Parlament
Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Ирландия	Ирландия	LOC	GPE-Ireland
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Момчил Неков	Момчил Неков	PER	PER-Momchil-Nekov
България	България	LOC	GPE-Bulgaria
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
българите	българи	PER	GPE-Bulgaria
българи	българи	PER	GPE-Bulgaria
Великобритания	Великобритания	LOC	GPE-Great-Britain
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
