bg-261
Брекзит	Брекзит	EVT	EVT-Brexit
Грант Торнтън	Грант Торнтън	ORG	ORG-Grant-Thornton-International
UK Telegraph	UK Telegraph	PRO	PRO-The-Telegraph
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Робърт Хана	Робърт Хана	PER	PER-Robert-Hannah
Telegraph	Telegraph	PRO	PRO-The-Telegraph
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
bnr.bg	bnr.bg	PRO	PRO-bnr.bg
Днес+	Днес+	ORG	ORG-DnesPlus
