bg-1265
Брекзит	Брекзит	EVT	EVT-Brexit
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Брюксел	Брюксел	LOC	GPE-Brussles
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
българите	българи	PER	GPE-Bulgaria
европейци	европейци	PER	PER-Europe
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Мей	Мей	PER	PER-Theresa-May
европейците	европейци	PER	LOC-Europe
Европарламента	европарламент	ORG	ORG-European-Parlament
Ги Верхофстад	Ги Верхофстад	PER	PER-Guy-Verhofstad
Гардиън	Гардиън	PRO	PRO-The-Guardian
британците	британци	PER	GPE-Great-Britain
Българите	българи	PER	GPE-Bulgaria
Британците	британци	PER	GPE-Great-Britain
Партията на консерваторите	Партия на консерваторите	ORG	ORG-Conservative-and-Unionist-Party-UK
британското финансово министерство	британско финансово министерство	ORG	ORG-Ministry-of-Finance-UK
Лондон	Лондон	LOC	GPE-London
Европа	Европа	LOC	LOC-Europe
източноевропейците	източноевропейци	PER	PER-Eastern-Europe
Май	Мей	PER	PER-Theresa-May
Ливърпул	Ливърпул	LOC	GPE-Liverpool
