bg-29
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Европейския парламент	Европейски парламент	ORG	ORG-European-Parlament
Лио Варадкар	Лио Варадкар	PER	PER-Leo-Varadkar
Reuters	Reuters	ORG	ORG-Reuters
Варадкар	Варадкар	PER	PER-Leo-Varadkar
ЕП	ЕП	ORG	ORG-European-Parlament
Страсбург	Страсбург	LOC	GPE-Strasbourg
Партията за независимост	Партия за независимост	ORG	ORG-UK-Independence-Party
ЮКИП	ЮКИП	ORG	ORG-UK-Independence-Party
Найджъл Фараж	Найджъл Фараж	PER	PER-Nigel-Farage
Тони Блеър	Тони Блеър	PER	PER-Tony-Blair
ЕС	ЕС	ORG	ORG-European-Union
