sl-91
Aircraft Interiors Expo 2018	Aircraft Interiors Expo 2018	EVT	EVT-Aircraft-Interiors-Expo-2018
Aviointeriors	Aviointeriors	ORG	ORG-Aviointeriors
CNN	CNN	PRO	PRO-CNN
Hamburgu	Hamburg	LOC	GPE-Hamburg
Michael O'Leary	Michael O'Leary	PER	PER-Michael-O'Leary
O'Leary	O'Leary	PER	PER-Michael-O'Leary
Ryanair	Ryanair	ORG	ORG-Ryanair
Ryanairu	Ryanair	ORG	ORG-Ryanair
SkyDiver 2.0	SkyRider 2.0	PRO	PRO-SkyRider-2.0
SkyRider 2.0	SkyRider 2.0	PRO	PRO-SkyRider-2.0
SkyRider	SkyRider	PRO	PRO-Skyrider
Zvezna letalska administracija ZDA	Zvezna letalska administracija ZDA	ORG	ORG-FAA-Federal-Aviation-Administration
