bg-639
bnr.bg	bnr.bg	PRO	PRO-bnr.bg
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джеръми Корбин	Джеръми Корбин	PER	PER-Jeremy-Corbyn
Днес+	Днес+	ORG	ORG-DnesPlus
ЕП	ЕП	ORG	ORG-European-Parliament
ЕС	ЕС	ORG	ORG-European-Union
Европа	Европа	LOC	LOC-Europe
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
лейбъристите	лейбъристи	PER	ORG-Labour-Party-UK
