bg-1496
BBC	BBC	PRO	PRO-BBC
Reuters	Reuters	ORG	ORG-Reuters
Брекзит	Брекзит	EVT	EVT-Brexit
Варадкар	Варадкар	PER	PER-Leo-Varadkar
Великобритания	Великобритания	LOC	GPE-Great-Britain
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
Дъблин	Дъблин	LOC	GPE-Dublin
ЕС	ЕС	ORG	ORG-European-Union
Европейския съд	Европейски съд	ORG	ORG-European-Court-of-Justice
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Ирландия	Ирландия	LOC	GPE-Ireland
Лео Варадкар	Лео Варадкар	PER	PER-Leo-Varadkar
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Република Ирландия	Република Ирландия	LOC	GPE-Ireland
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Цанко Цолов	Цанко Цолов	PER	PER-Tsanko-Tsolov
