bg-429
Ай Ти Ви	Ай Ти Ви	PRO	PRO-ITV
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
Европа	Европа	LOC	LOC-Europe
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Европейският съюз	Европейски съюз	ORG	ORG-European-Union
Лондон	Лондон	LOC	GPE-London
Московиси	Московиси	PER	PER-Pierre-Moscovici
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Пиер Московиси	Пиер Московиси	PER	PER-Pierre-Moscovici
Съвета за сигурност на ООН	Съвет за сигурност на ООН	ORG	ORG-UN-Security-Council
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
британците	британци	PER	GPE-Great-Britain
