bg-1438
The Daily Express	The Daily Express	PRO	PRO-Daily-Express
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джейкъб Рийс-Мог	Джейкъб Рийс-Мог	PER	PER-Jacob-Rees-Mogg
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Иън Дънкан Смит	Иън Дънкан Смит	PER	PER-Iain-Duncan-Smith
Йонислав Дочев	Йонислав Дочев	PER	PER-Yonislav-Donchev
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Лейбъристката партия	Лейбъристка партия	ORG	ORG-Labour-Party-UK
Лондон	Лондон	LOC	GPE-London
Смит	Смит	PER	PER-Iain-Duncan-Smith
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
консерваторите	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
