bg-1467
The Daily Express	The Daily Express	PRO	PRO-Daily-Express
Барние	Барние	PER	PER-Michel-Barnier
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Дейвис	Дейвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Лондон	Лондон	LOC	GPE-London
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
