bg-1706
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джеръми Корбин	Джеръми Корбин	PER	PER-Jeremy-Corbyn
ЕС	ЕС	ORG	ORG-European-Union
Камарата на лордовете	Камара на лордовете	ORG	ORG-House-of-Lords
Лейбъристка партия	Лейбъристка партия	ORG	ORG-Labour-Party-UK
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
консерватори	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
лейбъристите	лейбъристи	PER	ORG-Labour-Party-UK
