bg-733
CNBC	CNBC	PRO	PRO-CNBC
Cambridge Econometrics	Cambridge Econometrics	ORG	ORG-Cambridge-Econometrics
NIESR	NIESR	ORG	ORG-NIESR
Брекзит	Брекзит	EVT	EVT-Brexit
Брексит	Брексит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Лондон	Лондон	LOC	GPE-London
МВФ	МВФ	ORG	ORG-International-Monetary-Fund
Международния валутен фонд	Международен валутен фонд	ORG	ORG-International-Monetary-Fund
Националния институт за икономически и социални изследвания	Национален институт за икономически и социални изследвания	ORG	ORG-NIESR
СТО	СТО	ORG	ORG-WTO-World-Trade-Organization
Садик Хан	Садик Хан	PER	PER-Sadiq-Khan
Сам Мередит	Сам Мередит	PER	PER-Sam-Meredith
Световната търговска организация	Световна търговска организация	ORG	ORG-WTO-World-Trade-Organization
Хан	Хан	PER	PER-Sadiq-Khan
