bg-746
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Виена	Виена	LOC	GPE-Vienna
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Дейвис	Дейвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Лондон	Лондон	LOC	GPE-London
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Норвегия	Норвегия	LOC	GPE-Norway
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Швейцария	Швейцария	LOC	GPE-Switzerland
