docId,sentenceId,tokenId,text,lemma,ner,clID
ryanair wiki,0,1,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ryanair wiki,0,2,–,,O,
ryanair wiki,0,3,irlandzkie,,O,
ryanair wiki,0,4,linie,,O,
ryanair wiki,0,5,lotnicze,,O,
ryanair wiki,0,6,z,,O,
ryanair wiki,0,7,siedzibą,,O,
ryanair wiki,0,8,w,,O,
ryanair wiki,0,9,Dublinie,Dublin,B-LOC,GPE-Dublin
ryanair wiki,0,10,.,,O,
ryanair wiki,1,1,Największy,,O,
ryanair wiki,1,2,w,,O,
ryanair wiki,1,3,Europie,Europa,B-LOC,LOC-Europe
ryanair wiki,1,4,i,,O,
ryanair wiki,1,5,jeden,,O,
ryanair wiki,1,6,z,,O,
ryanair wiki,1,7,największych,,O,
ryanair wiki,1,8,na,,O,
ryanair wiki,1,9,świecie,,O,
ryanair wiki,1,10,niskobudżetowych,,O,
ryanair wiki,1,11,przewoźników,,O,
ryanair wiki,1,12,lotniczych,,O,
ryanair wiki,1,13,.,,O,
ryanair wiki,2,1,Flota,,O,
ryanair wiki,2,2,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ryanair wiki,2,3,liczy,,O,
ryanair wiki,2,4,437,,O,
ryanair wiki,2,5,samolotów,,O,
ryanair wiki,2,6,typu,,O,
ryanair wiki,2,7,Boeing,Boeing,B-PRO,PRO-Boeing-737
ryanair wiki,2,8,737,737,I-PRO,PRO-Boeing-737
ryanair wiki,2,9,-,-,I-PRO,PRO-Boeing-737
ryanair wiki,2,10,800,800,I-PRO,PRO-Boeing-737
ryanair wiki,2,11,.,,O,
ryanair wiki,3,1,Spółka,,O,
ryanair wiki,3,2,została,,O,
ryanair wiki,3,3,założona,,O,
ryanair wiki,3,4,w,,O,
ryanair wiki,3,5,1985,,O,
ryanair wiki,3,6,r,,O,
ryanair wiki,3,7,.,,O,
ryanair wiki,3,8,przez,,O,
ryanair wiki,3,9,Tony’ego,Tony,B-PER,PER-Tony-Ryan
ryanair wiki,3,10,Ryana,Ryan,I-PER,PER-Tony-Ryan
ryanair wiki,3,11,i,,O,
ryanair wiki,3,12,jego,,O,
