pl-154
Best for Britain	Best for Britain	ORG	ORG-Best-for-Britain
Brexit	Brexit	EVT	EVT-Brexit
Brexitu	Brexit	EVT	EVT-Brexit
Daily Telegraph	Daily Telegraph	PRO	PRO-The-Daily-Telegraph
George Soros	George Soros	PER	PER-George-Soros
Gina Miller	Gina Miller	PER	PER-Gina-Miller
Guardianowi	Guardian	PRO	PRO-The-Guardian
Malloch Brown	Malloch Brown	PER	PER-Malloch-Brown
Soros	Soros	PER	PER-George-Soros
Theresy May	Theresa May	PER	PER-Theresa-May
Traktatu Lizbońskiego	Traktat Lizboński	PRO	PRO-Treaty-of-Lisbon
