bg-1101
Huffington Post	huffington post	PRO	94-0
Великобритания	великобритания	LOC	68-0
ЕС	ес	ORG	82-0
Лондон	лондон	LOC	110-0
Тереза Мей	тереза мей	PER	55-17
Брекзит	брекзит	EVT	63-0
Каланън	каланън	PER	96-13
Европейския съюз	европейски съюз	ORG	82-2
Световната търговска организация	световен търговски организация	ORG	101-41
Юлиян Марков	юлиян марков	PER	71-0
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
Брюксел	брюксел	LOC	63-3
Европейския съвет	европейски съвет	ORG	82-1
Доналд Туск	доналд туск	PER	103-12
AFP	afp	ORG	66-1
Туск	туск	PER	55-3
Иван Христов	иван христов	PER	102-8
