bg-1133
Брекзит	брекзит	EVT	63-2
Америка на първо място	америка на пръв място	PRO	65-8
САЩ	сащ	LOC	101-23
Доналд Тръмп	доналд тръмп	PER	103-13
Давос	давос	LOC	103-46
Тръмп	тръмп	PER	55-0
Европа	европа	LOC	82-3
Китай	китай	LOC	96-16
Япония	япония	LOC	xxx
Филип Хамънд	филип хамънд	PER	62-3
Тереза Мей	тереза мей	PER	55-17
ЕС	ес	ORG	82-0
Великобритания	великобритания	LOC	68-0
ABC News	abc news	PRO	66-2
Световния икономически форум в Давос	световен икономически форум в давос	ORG	101-42
Мей	мей	PER	89-3
Световната търговска организация	световен търговски организация	ORG	101-41
Сирия	сирия	LOC	101-45
Северна Корея	северен корея	LOC	101-24
Иран	иран	LOC	102-11
Reuters	reuters	ORG	95-0
Washington Post	washington post	PRO	111-0
Ларс Льоке	ларс льоке	PER	110-87
Далия Грибаускайте	далия грибаускам	PER	103-108
Voice of America	voice of america	PRO	98-0
Борге Бренде	борге бренде	PER	63-181
Македония	македония	LOC	89-21
Заев	заев	PER	92-3
Скопие	скопие	LOC	101-46
Ципрас	ципрас	PER	99-2
Гърция	гърция	LOC	78-16
Адриатическо-Йонийската инициатива	адриатическо-ро-йон инициатива	ORG	65-64
Алексис Ципрас	алексис ципрас	PER	xxx
Зоран	зоран	PER	xxx
Канал	канал	PRO	xxx
македонския	македонски	LOC	89-78
НАТО	нато	ORG	97-4
Хамънд	хамънд	PER	52-4
Норвегия	норвегия	LOC	97-2
Лео Варадкар	лео варадкар	PER	110-1
Ирландия	ирландия	LOC	102-6
Варадкар	варадкар	PER	68-5
Мишел Барние	мишел барние	PER	89-1
Канада	канада	LOC	96-12
AFP	afp	ORG	66-1
Швейцария	швейцария	LOC	108-5
Цюрих	цюрих	LOC	99-6
Еманюел Макрон	еманюел макрон	PER	82-55
Франция	франция	LOC	62-4
Европа“	европа“	LOC	82-3
Politico	politico	PRO	59-0
“	“	LOC	xxx
Макрон	макрон	PER	89-6
The Daily Express	the daily express	PRO	76-2
The	the	PRO	xxx
Лондон	лондон	LOC	110-0
Вашингтон	вашингтон	LOC	68-6
Обединеното кралство	обединя-(се) кралство	LOC	64-0
Белият дом	бял дом	LOC	63-43
швейцарския	швейцарски	LOC	108-16
Ангела Меркел	ангела меркел	PER	65-9
Брюксел	брюксел	LOC	63-3
британците	британец	PER	63-26
ФРГ	фрг	LOC	62-9
The Times	the times	PRO	76-7
Меркел	меркел	PER	89-10
Берлин	берлин	LOC	63-1
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
