bg-1550
Брекзит	брекзит	EVT	63-205
Макрон	макрон	PER	89-6
Обновление	обновление	ORG	64-4
Renew	renew	ORG	95-1
Великобритания	великобритания	LOC	68-0
Република , напред !	република , напред !	ORG	87-12
En Marche	en marche	ORG	53-4
Еманюел Макрон	еманюел макрон	PER	82-55
БТА	бта	ORG	63-5
ЕС	ес	ORG	82-0
Джеймс Кларк	джеймс кларк	PER	103-19
Консервативна партия	консервативен партия	ORG	96-6
великобритания	великобритания	LOC	68-47
Либерал-демократи	либерал-демократ	ORG	110-91
Кларк	кларк	PER	96-23
Франция	франция	LOC	62-4
АФП	афп	ORG	65-7
Тереза Мей	тереза мей	PER	55-17
Крис Коглан	крис коглан	PER	96-24
Южен Лондон	южен лондон	LOC	71-15
Обединеното кралство	обединя-(се) кралство	LOC	64-0
Grassroots Coordinating Group	grassroots coordinating group	ORG	77-0
Брюксел	брюксел	LOC	63-3
Андрю Адонис	андрю адонис	PER	65-23
Камарата на лордовете	камара на лорд	ORG	96-3
Нашето бъдеще , нашият избор	наш бъдеще , наш избор	ORG	97-11
Our Future Our Choice	nan future our choice	ORG	91-1
Най-доброто за Британия	добър за британия	ORG	97-12
Best for Britain	best for britain	ORG	86-5
Джордж Сорос	джордж сорос	PER	103-43
Лондон	лондон	LOC	110-0
