bg-1083
The Daily Express	the daily express	PRO	76-2
ЕС	ес	ORG	82-0
Брекзит	брекзит	EVT	63-0
Европейската комисия	европейски комисия	ORG	82-12
Европейския съюз	европейски съюз	ORG	82-2
Обединеното кралство	обединя-(се) кралство	LOC	64-0
Великобритания	великобритания	LOC	68-0
Тереза Мей	тереза мей	PER	55-17
Мишел Барние	мишел барние	PER	89-1
Мей	мей	PER	89-4
Лейбъристка	лейбъристки	ORG	110-4
Шотландска национална партия	шотландски национален партия	ORG	108-3
Ирландия	ирландия	LOC	102-6
Северна Ирландия	северен ирландия	LOC	101-25
Лейбъристката партия	лейбъристки партия	ORG	110-6
Кир Стармър	кир стармър	PER	96-11
Лондон	лондон	LOC	110-0
Саймън Кавъни	саймън кавъни	PER	101-38
Виктор Турмаков	виктор турмаков	PER	68-4
Брюксел	брюксел	LOC	63-3
Reuters	reuters	ORG	95-0
Барние	барние	PER	63-4
ЕК	ек	ORG	82-15
