bg-1147
The Guardian	the guardian	PRO	76-3
Брюксел	брюксел	LOC	63-3
Тереза Мей	тереза мей	PER	55-17
Брекзит	брекзит	EVT	63-0
ЕС	ес	ORG	82-0
Мишел Барние	мишел барние	PER	89-1
Великобритания	великобритания	LOC	68-0
Европа	европа	LOC	82-3
Ирландия	ирландия	LOC	102-6
Алеш Шмелар	алеш шмелар	PER	65-10
Чешката република	чешки република	LOC	112-0
Норвегия	норвегия	LOC	97-2
Канада	канада	LOC	96-12
Канада“	канада“	LOC	96-12
Мей	мей	PER	89-2
Европейската агенция за	европейски агенция за	ORG	82-19
Европейския парламент	европейски парламент	ORG	82-9
Ги Верхофстад	аз верхофстад	PER	78-7
Брекзит“	брекзит	EVT	63-2
Манфред Вебер	манфред вебер	PER	89-22
ЕНП	енп	ORG	82-8
ЕП	еп	ORG	82-16
Виктор Турмаков	виктор турмаков	PER	68-4
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
