bg-120
Брекзит	брекзит	EVT	63-0
Европейския съюз	европейски съюз	ORG	82-2
Ройтерс	ройтерс	ORG	87-0
Партията за независимостта	партия за независимост	ORG	67-9
Великобритания	великобритания	LOC	67-9
UKIP	ukip	ORG	54-0
Найджъл Фараж	найджъл фараж	PER	97-6
ЕС	ес	ORG	82-0
Фараж	фараж	PER	62-14
Арън Банкс	арън банкс	PER	65-11
Мей	мей	PER	89-3
британците	британец	PER	63-26
Банкс	банкс	PER	63-227
Обединеното кралство	обединя-(се) кралство	LOC	64-0
Тереза Мей	тереза мей	PER	55-17
Би Би Си	съм съм си	PRO	63-28
BMG	bmg	ORG	86-1
Евросъюза	евросъюз	ORG	82-13
Би Ем Джи	би ем джи	ORG	63-158
