bg-1265
Брекзит	брекзит	EVT	63-0
Тереза Мей	тереза мей	PER	55-17
Брюксел	брюксел	LOC	63-3
Обединеното кралство	обединя-(се) кралство	LOC	64-0
ЕС	ес	ORG	82-0
българите	българин	PER	63-30
европейци	европеец	PER	82-5
Европейския съвет	европейски съвет	ORG	82-1
Мей	мей	PER	89-4
европейците	европеец	PER	82-5
Европарламента	европарламент	ORG	82-26
Ги Верхофстад	аз верхофстад	PER	78-7
Гардиън	гардиън	PRO	78-0
британците	британец	PER	63-26
Българите	българин	PER	63-177
Британците	британец	PER	63-41
Партията на консерваторите	партия на консерватор	ORG	67-15
британското финансово министерство	британски финансов министерство	ORG	63-110
Лондон	лондон	LOC	110-0
Европа	европа	LOC	82-3
източноевропейците	източноевропеец	PER	102-15
Май	май	PER	89-28
Ливърпул	ливърпул	LOC	110-17
