bg-1230
Брекзит	брекзит	EVT	63-0
Дейвид Дейвис	дейвид дейвис	PER	103-0
ЕС	ес	ORG	82-0
Daily Mirror	daily mirror	PRO	79-1
Великобритания	великобритания	LOC	68-0
Канада	канада	LOC	96-12
Дейвис	дейвис	PER	103-8
Лейбъристката партия	лейбъристки партия	ORG	110-6
Мат Пеникук	мат пеникук	PER	89-130
Консерваторите	консерватор	PER	96-1
TUC	tuc	ORG	76-145
Франсис О’Грейди	франсис о’грейди	PER	xxx
Кале	кале	LOC	96-21
Тереза Мей	тереза мей	PER	55-17
The Daily Express	the daily express	PRO	76-2
Джунгла	джунгла	LOC	xxx
Май	май	PER	89-86
Емануел Макрон	емануел макрон	PER	82-55
Еритрея	еритрея	LOC	82-106
Етиопия	етиопия	LOC	82-105
Афганистан	афганистан	LOC	65-81
Па дьо Кале	па дьо кале	LOC	67-84
The Guardian	the guardian	PRO	76-3
Филип Хамънд	филип хамънд	PER	62-3
Грег Кларк	грег кларк	PER	78-10
Консервативната партия	консервативен партия	ORG	96-6
Джейкъб Рийс-Мог	джейкъб рийс-мог	PER	103-16
Рийс-Мог	рийс-мог	PER	87-27
консерваторите	консерватор	PER	96-1
САЩ	сащ	LOC	101-23
Доналд Тръмп	доналд тръмп	PER	103-13
Африка	африка	LOC	65-16
Африканския съюз	африкански съюз	ORG	65-17
Адис Абеба	адис абеба	LOC	65-49
The Independent	the independent	PRO	76-5
Световния икономически форум в Давос	световен икономически форум в давос	ORG	101-42
Тръмп	тръмп	PER	55-0
Руанда	руанда	LOC	87-59
Пол Кагаме	пол кагаме	PER	67-53
Африканският съюз	африкански съюз	ORG	65-17
АС	ас	ORG	65-48
Рекс Тилърсън	рекс тилърсън	PER	87-39
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
