bg-939
Брекзит	брекзит	EVT	63-2
ЕП	еп	ORG	82-16
ЕС	ес	ORG	82-0
Обединено	обединя-(се)	LOC	64-30
Страсбург	страсбург	LOC	101-50
Обединеното кралство	обединя-(се) кралство	LOC	64-0
Белфасткото споразумение	белфастки споразумение	PRO	63-61
Евродепутатите	евродепутат	PER	82-7
Съда на ЕС	съд на ес	ORG	101-28
Европейската комисия	европейски комисия	ORG	82-12
Ирландия	ирландия	LOC	102-6
Северна Ирландия	северен ирландия	LOC	101-25
Момчил Неков	момчил неков	PER	89-48
С&Д	с&д	ORG	101-119
България	българия	LOC	63-35
Европейския съюз	европейски съюз	ORG	82-2
българите	българин	PER	63-30
българи	българин	PER	63-31
Великобритания	великобритания	LOC	68-0
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
