bg-1359
Брекзит	брекзит	EVT	63-0
Северна Ирландия	северен ирландия	LOC	101-25
Европейския съюз	европейски съюз	ORG	82-2
Жан-Ив Льо Дриан	жан-ив льо дриан	PER	73-1
Дъблин	дъблин	LOC	103-38
Ройтерс	ройтерс	ORG	87-0
Дейвид Дейвис	дейвид дейвис	PER	103-0
ЕС	ес	ORG	82-0
ирландския	ирландски	LOC	102-7
Саймън Коувъни	саймън коувъни	PER	101-38
Льо Дриан	льо дриан	PER	110-19
БТА	бта	ORG	63-5
Ирландия	ирландия	LOC	102-6
Великобритания	великобритания	LOC	68-0
Коувъни	коувъни	PER	96-10
Обединеното кралство	обединя-(се) кралство	LOC	64-0
Тереза Мей	тереза мей	PER	55-17
