bg-1524
Digital Journal	digital journal	PRO	79-5
Канада	канада	LOC	96-12
Съвета на ЕС	съвет на ес	ORG	101-26
Отава	отава	LOC	64-22
България	българия	LOC	63-35
Тереза Мей	тереза мей	PER	55-17
европейските	европейски	PER	82-25
Брекзит	брекзит	EVT	63-0
Лиляна Павлова	лиляна павлова	PER	110-2
Франс прес	франс прес	ORG	62-0
Мей	мей	PER	89-4
Павлова	павлова	PER	67-2
Бойко Борисов	бойко борисов	PER	63-45
ЕС	ес	ORG	82-0
Великобритания	великобритания	LOC	68-0
Лондон	лондон	LOC	110-0
европейците	европеец	PER	82-5
Цанко Цолов	цанко цолов	PER	99-1
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
