bg-100
Брекзит	брекзит	EVT	63-0
Паркър	паркър	PER	67-64
Великобритания	великобритания	LOC	68-0
Европейския съюз	европейски съюз	ORG	82-2
Тръмп	тръмп	PER	55-0
САЩ	сащ	LOC	101-23
Психологически и астрологични прогнози за 2018 година	психологически и астрологичен прогноза за 2018 година	PRO	67-89
Исландия	исландия	LOC	102-0
Индия	индия	LOC	102-1
Везувий	везувий	LOC	68-43
Иския	иския	LOC	102-35
Италия	италия	LOC	102-2
Крейг Хамилтън-Паркър	крейг хамилтън-паркър	PER	96-0
Северна Корея	северен корея	LOC	101-24
Ким Чен Ун	ким чен ун	PER	96-60
Европа	европа	LOC	82-3
Лондон	лондон	LOC	110-0
Берлин	берлин	LOC	63-1
Тръмп.	тръмп.	PER	55-0
ЕС	ес	ORG	82-0
Мексико	мексико	LOC	89-0
