bg-536
Брекзит	брекзит	EVT	63-0
Туск	туск	PER	55-3
Доналд Туск	доналд туск	PER	103-12
Великобритания	великобритания	LOC	68-0
Европейския съюз	европейски съюз	ORG	82-2
Европейския съвет	европейски съвет	ORG	82-1
Европейската комисия	европейски комисия	ORG	82-12
Жан-Клод Юнкер	жан-клод юнкер	PER	73-0
ЕС	ес	ORG	82-0
Европейския парламент	европейски парламент	ORG	82-9
Лондон	лондон	LOC	110-0
Юнкер	юнкер	PER	71-2
Вишеградската четворка	вишеградски четворка	ORG	68-2
Африка	африка	LOC	65-16
Европарламента	европарламент	ORG	82-30
Европейската народна партия	европейски народен партия	ORG	82-24
ЕНП	енп	ORG	82-8
консерватори	консерватор	PER	96-2
АЛДЕ	алде	ORG	65-32
Найджъл Фараж	найджъл фараж	PER	97-6
Мишел Барние	мишел барние	PER	89-1
Фараж	фараж	PER	62-14
Европа на народите и свободата	европа на народ и свобода	ORG	82-159
БТА	бта	ORG	63-5
