bg-490
Гардиън	гардиън	PRO	78-0
ЕС	ес	ORG	82-0
Северна Ирландия	северен ирландия	LOC	101-25
Брекзит	брекзит	EVT	63-0
Великобритания	великобритания	LOC	68-0
Европейския съюз	европейски съюз	ORG	82-2
Брюксел	брюксел	LOC	63-3
Република Ирландия	република ирландия	LOC	87-4
Добрия петък	добър петък	EVT	103-55
Консервативна партия	консервативен партия	ORG	96-6
Демократичната юнионистка партия	демократичен юнионистки партия	ORG	103-9
Тереза Мей	тереза мей	PER	55-17
Камарата на общините	камара на община	ORG	96-5
Европейската комисия	европейски комисия	ORG	82-12
Обединеното кралство	обединя-(се) кралство	LOC	64-0
