bg-696
Брекзит	брекзит	EVT	63-2
Изток	изток	LOC	102-23
европейци	европеец	PER	82-5
Великобритания	великобритания	LOC	68-0
Европейския съюз	европейски съюз	ORG	82-2
ONS	ons	ORG	91-2
Би Би Си	би би си	PRO	63-29
ЕС	ес	ORG	82-0
британците	британец	PER	63-26
Никола Уайт	никола уайт	PER	97-43
Гийермо Меарди	гийермо меарди	PER	78-46
Уоруик	уоруик	ORG	83-27
Източна Европа	източен европа	LOC	102-10
Централна	централен	LOC	xxx
Меарди	меарди	PER	89-103
Полша	полша	LOC	67-13
британските	британски	PER	63-157
България	българия	LOC	63-35
Румъния	румъния	LOC	87-5
Дейли телеграф	дейли телеграф	PRO	103-51
британци	британец	PER	63-39
Обединеното кралство	обединя-(се) кралство	LOC	64-0
Каролин Ноукс	каролин ноукс	PER	96-88
