bg-1074
Evening Standard	evening standard	PRO	53-0
Тереза Май	тереза май	PER	55-17
Еврокомисия	еврокомисия	ORG	82-14
Лондон	лондон	LOC	110-0
Еврокомисията	еврокомисия	ORG	82-14
Европейския съд	европейски съд	ORG	82-2
Брекзит	брекзит	EVT	63-0
Европейския съюз	европейски съюз	ORG	82-2
Великобритания	великобритания	LOC	68-0
ЕС	ес	ORG	82-0
Борис Джонсън	борис джонсън	PER	63-6
Джонсън	джонсън	PER	103-22
Люксембург	люксембург	LOC	110-10
Ги Верховстад	аз верховстад	PER	78-7
Европейския парламент	европейски парламент	ORG	82-9
Юлиян Марков	юлиян марков	PER	71-0
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
