bg-1512
The Telegraph	the telegraph	PRO	76-0
ДЮП	дюп	ORG	103-40
Белфаст	белфаст	LOC	63-40
Демократичната юнионистка партия	демократичен юнионистка партия	ORG	103-9
Северна Ирландия	северен ирландия	LOC	101-25
Тереза Мей	тереза мей	PER	55-17
ЕС	ес	ORG	82-0
Брекзит	брекзит	EVT	63-0
Найджъл Одс	найджъл одс	PER	97-3
Уестминстър	уестминстър	LOC	83-6
Великобритания	великобритания	LOC	68-0
Ирландия	ирландия	LOC	102-6
Иван Христов	иван христов	PER	102-8
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
