bg-442
Брекзит	брекзит	EVT	63-0
Ройтерс	ройтерс	ORG	87-0
ЕС	ес	ORG	82-0
Мишел Барние	мишел барние	PER	89-1
Мей	мей	PER	89-3
Барние	барние	PER	63-4
Лондон	лондон	LOC	110-0
Брюксел	брюксел	LOC	63-3
Великобритания	великобритания	LOC	68-0
Тереза Мей	тереза мей	PER	55-17
Ламанша	ламанш	LOC	110-8
Обединеното кралство	обединя-(се) кралство	LOC	64-0
Съда на ЕС	съд на ес	ORG	101-28
Европейския съвет	европейски съвет	ORG	82-1
Северна Ирландия	северен ирландия	LOC	101-25
Дъблин	дъблин	LOC	103-38
Белфаст	белфаст	LOC	63-40
Канада	канада	LOC	96-12
Норвегия	норвегия	LOC	97-2
Франция	франция	LOC	62-4
