bg-1034
Гардиън	гардиън	PRO	78-0
Европа	европа	LOC	82-3
Брекзит	брекзит	EVT	63-0
Германия	германия	LOC	78-1
Германската социалдемократическа партия	германски социалдемократически партия	ORG	78-2
ГСДП	гсдп	ORG	78-3
Левите	лев	ORG	110-147
БТА	бта	ORG	63-5
Мартин Шулц	мартин шулц	PER	89-8
Волфганг Шойбле	волфганг шойбле	PER	68-1
Елисейския дворец	елисейски дворец	LOC	82-299
Брюксел	брюксел	LOC	63-3
Меркел	меркел	PER	89-10
Зелените	зелен	ORG	92-1
Свободните демократи	свободен демократ	ORG	101-96
Алтернатива за Германия	алтернатива за германия	ORG	65-51
АзГ	азг	ORG	65-1
Християндемократическия съюз	християндемократически съюз	ORG	52-0
ХДС	хдс	ORG	52-24
консерваторите	консерватор	PER	xxx
Съединени европейски щати	съединя-(се) европейски щат	LOC	101-32
Шулц	шулц	PER	108-0
Еманюел Макрон	еманюел макрон	PER	82-55
еврозоната	еврозона	LOC	82-6
Южна Европа	южен европа	LOC	71-17
Вишеградската четворка	вишеградски четворка	ORG	68-2
Брекзита	брекзита	EVT	63-25
Брекзитът	брекзит	EVT	63-33
унгарци	унгарец	PER	83-0
поляци	поляка	PER	67-1
словаци	словак	PER	101-94
чехи	чеха	PER	112-17
ЕС	ес	ORG	82-0
