bg-86
Брекзит	брекзит	EVT	63-0
Великобритания	великобритания	LOC	68-0
Brussels Times	brussels times	PRO	86-3
Фокус	фокус	ORG	62-1
Обединеното кралство	обединя-(се) кралство	LOC	64-0
ЕС	ес	ORG	82-0
британците	британец	PER	63-26
Франция	франция	LOC	62-4
Испания	испания	LOC	102-12
Италия	италия	LOC	102-2
Белгия	белгия	LOC	63-38
Закона за европейските избори	закон за европейски избор	PRO	xxx
Европейската народна партия	европейски народен партия	ORG	82-24
Европейския парламент	европейски парламент	ORG	82-9
консерваторите	консерватор	PER	96-1
евродепутати	евродепутат	PER	82-7
Страсбург	страсбург	LOC	101-50
