bg-1438
The Daily Express	the daily express	PRO	76-2
Тереза Мей	тереза мей	PER	55-17
Брекзит	брекзит	EVT	63-2
Лондон	лондон	LOC	110-0
Великобритания	великобритания	LOC	68-0
Лейбъристката партия	лейбъристки партия	ORG	110-6
Консервативната партия	консервативен партия	ORG	96-6
консерваторите	консерватор	PER	96-1
Иън Дънкан Смит	иън дънкан смит	PER	102-5
Лейбъристите	лейбърист	PER	xxx
Смит	смит	PER	101-37
Джейкъб Рийс-Мог	джейкъб рийс-мог	PER	103-16
Йонислав Дочев	йонислав дочев	PER	104-0
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
