cs-82
Alexej Miller	Alexej Miller	PER	PER-Aleksey-Miller
Baltského moře	Baltské moře	LOC	LOC-Baltic-Sea
Dánsko	Dánsko	LOC	GPE-Denmark
Evropy	Evropa	LOC	LOC-Europe
Evropě	Evropa	LOC	LOC-Europe
Finsko	Finsko	LOC	GPE-Finland
Gazprom	Gazprom	ORG	ORG-Gazprom
Gazpromu	Gazprom	ORG	ORG-Gazprom
Kommersant	Kommersant	PRO	PRO-Kommersant
Naftogaz	Naftogaz	ORG	ORG-Naftogaz
Naftogazem	Naftogaz	ORG	ORG-Naftogaz
Naftogazu	Naftogaz	ORG	ORG-Naftogaz
Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
Německo	Německo	LOC	GPE-Germany
Ukrajinou	Ukrajina	LOC	GPE-Ukraine
Ukrajinu	Ukrajina	LOC	GPE-Ukraine
Ukrajiny	Ukrajina	LOC	GPE-Ukraine
stockholmská arbitráž	stockholmská arbitráž	ORG	ORG-Stockholm-Chamber-of-Commerce
Švédsko	Švédsko	LOC	GPE-Sweden
