cs-67
CDU	CDU	ORG	ORG-Christlich-Demokratische-Union
Günther Daniel	Günther Daniel	PER	PER-Daniel-Gunther
Manuela Schwesigová	Manuela Schwesigová	PER	PER-Manuela-Schwesig
Meklenbursko-Přední Pomořansko	Meklenbursko-Přední Pomořansko	LOC	GPE-Mecklenburg-Vorpommern
Merkelovou	Merkelová	PER	PER-Angela-Merkel
Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
Nord Stream-2	Nord Stream-2	PRO	PRO-Nord-Stream-2
Německo	Německo	LOC	GPE-Germany
Ruskem	Rusko	LOC	GPE-Russia
Rusko	Rusko	LOC	GPE-Russia
Schwesigová	Schwesigová	PER	PER-Manuela-Schwesig
Weil	Weil	PER	PER-Stephan-Weil
Šlesvicko-Holštýnska	Šlesvicko-Holštýnsko	LOC	GPE-Schleswig-Holstein
