pl-44
#ColosseoRosso	#ColosseoRosso	EVT	EVT-ColloseoRosso
Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
Asia News	Asia News	ORG	ORG-Asia-News
Asii Bibi.	Asia Bibi	PER	PER-Asia-Bibi
Benedykt XVI	Benedykt XVI	PER	PER-Benedict-XVI
Bibi	Bibi	PER	PER-Asia-Bibi
Bitrus	Bitrus	PER	PER-Rebecca-Bitrus
Biuro Prasowe Stolicy Apostolskiej	Biuro Prasowe Stolicy Apostolskiej	ORG	ORG-Holy-See-Press-Office
Boko Haram	Boko Haram	ORG	ORG-Boko-Haram
Franciszek	Franciszek	PER	PER-Pope-Francis
Franciszkiem	Franciszek	PER	PER-Pope-Francis
Jezusa Chrystusa	Jezus Chrystus	PER	PER-Jesus-Christ
Koloseum	Koloseum	LOC	LOC-Colloseum-Rome
Koranowi	Koran	PRO	PRO-The-Quran
Mahomet	Mahomet	PER	PER-Mahomet
Mahometowi	Mahomet	PER	PER-Mahomet
Muhammad Haneef Qureshi	Muhammad Haneef Qureshi	PER	PER-Muhammad-Haneef-Qureshi
Pakistanie	Pakistan	LOC	GPE-Pakistan
Pakistańczyków	Pakistańczycy	PER	GPE-Pakistan
Papieskiego Stowarzyszenia Pomoc Kościołowi w Potrzebie	Papieskie Stowarzyszenie Pomoc Kościołowi w Potrzebie	ORG	ORG-ACN-Aid-to-the-Church-in-Need
Radio Watykańskie	Radio Watykańskie	PRO	PRO-Radio-Vaticana
Rebbecca Bitrus	Rebbecca Bitrus	PER	PER-Rebecca-Bitrus
Rebecca	Rebecca	PER	PER-Rebecca-Bitrus
Sąd Najwyższy	Sąd Najwyższy	ORG	ORG-Supreme-Court-of-Pakistan
Wielkanocą	Wielkanoc	EVT	EVT-Easter
katedra św. Pawła w Mosulu	katedra św. Pawła w Mosulu	LOC	LOC-Saint-Paul-cathedral-Mosul
maronicki kościół św. Eliasza w Aleppo	maronicki kościół św. Eliasza w Aleppo	LOC	LOC-Saint-Elijah-Cathedral-Aleppo
