ru-1144
Brexit	Brexit	EVT	EVT-Brexit
Reuters	Reuters	ORG	ORG-Reuters
Британии	Британия	LOC	GPE-Great-Britain
Британия	Британия	LOC	GPE-Great-Britain
Великобритания	Великобритания	LOC	GPE-Great-Britain
Великой Британии	Великая Британия	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейского Союза	Европейский Союз	ORG	ORG-European-Union
Нидерланды	Нидерланды	LOC	GPE-Holland
Омтзигт	Омтзигт	PER	PER-Pieter-Omtzigt
Питер Омтзигт	Питер Омтзигт	PER	PER-Pieter-Omtzigt
Правительство Нидерландов	Правительство Нидерландов	ORG	ORG-States-General
Тереза Мэй	Тереза Мэй	PER	PER-Theresa-May
британского правительства	британское правительство	ORG	ORG-the-UK-Government
британское правительство	британское правительство	ORG	ORG-the-UK-Government
парламент Нидерландов	парламент Нидерландов	ORG	ORG-States-General
парламенте Нидерландов	парламент Нидерландов	ORG	ORG-States-General
