bg-433
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Еманюел Макрон	Еманюел Макрон	PER	PER-Emmanuel-Macron
Кале	Кале	LOC	GPE-Calais
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Лондон	Лондон	LOC	GPE-London
Льо Туке	Льо Туке	LOC	GPE-Le-Touquet-Paris-Plage
Макрон	Макрон	PER	PER-Emmanuel-Macron
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Париж	Париж	LOC	GPE-Paris
Ройтерс	Ройтерс	ORG	ORG-Reuters
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Туке	Туке	LOC	GPE-Le-Touquet-Paris-Plage
Франция	Франция	LOC	GPE-France
