bg-1524
Digital Journal	Digital Journal	PRO	PRO-Digital-Journal
Бойко Борисов	Бойко Борисов	PER	PER-Boyko-Borisov
Брекзит	Брекзит	EVT	EVT-Brexit
България	България	LOC	GPE-Bulgaria
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Канада	Канада	LOC	GPE-Canada
Лиляна Павлова	Лиляна Павлова	PER	PER-Lilyana-Pavlova
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Отава	Отава	LOC	GPE-Ottawa
Павлова	Павлова	PER	PER-Lilyana-Pavlova
Съвета на ЕС	Съвет на ЕС	ORG	ORG-Council-of-the-European-Union
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Франс прес	Франс прес	ORG	ORG-France-Presse
Цанко Цолов	Цанко Цолов	PER	PER-Tsanko-Tsolov
европейците	европейци	PER	LOC-Europe
