bg-502
EUobserver	EUobserver	PRO	PRO-EUobserver
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Дейвис	Дейвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Лондон	Лондон	LOC	GPE-London
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Съветът на Европейския съюз	Съвет на Европейския съюз	ORG	ORG-Council-of-the-European-Union
Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
